code,description
4765,Specializovaný maloobchodní prodej s hrami a hračkami
4776,"Specializovaný maloobchodní prodej s květinami, rostlinami,"
4777,"Specializovaný maloobchodní prodej s hodinami, hodinkami"
4778,Specializovaný maloobchodní prodej:
4779,Vše
4791,Vše
4781,"Maloobchod s potravinami, nápoji a tabákovými výrobky ve"
4782,"Maloobchod s textilem, oděvy a obuví ve stáncích a na trzích"
4789,Maloobchod s ostatním zbožím ve stáncích a na trzích (kromě
4779,Činnosti v maloobchodních aukčních domech (kromě internetových
4791,Internetové maloobchodní aukce
4799,"Maloobchodní prodej nezahrnutý v předchozích třídách, kromě"
9523,Vše
9521,Opravy spotřební elektroniky:
9522,Opravy a údržba domácích elektrospotřebičů:
9525,Vše
1330,Tisk na textilní předměty „na počkání“
9512,Opravy mobilních telefonů
9523,Opravy obuvi
9529,Opravy a údržba kol
5510,Vše
5520,Mládežnické turistické noclehárny a horské chaty k úkrytu
5530,"Zabezpečené úkryty a místa určená k bivakování, k umístění"
5530,Vše
5520,"Poskytování krátkodobého ubytování: v horských chatách,"
5590,"Poskytování krátkodobého ubytování: ve studentských domovech,"
5610,Vše
5630,Vše
5629,Vše
5621,Poskytování cateringu
5629,"Stravovací služby poskytované smluvně, např. dopravním"
4910,"Vše, kromě seřazování a posunování - osobní železniční doprava"
4920,"Vše, kromě seřazování a posunování - nákladní železniční"
5221,Seřazování a posunování vagonů (SKP 60.10.30)
4931,Městská a příměstská osobní doprava na pravidelných linkách
4939,Meziměstská osobní doprava (kromě železniční) na pravidelných
4932,Vše
4939,Vše
4941,"Vše, kromě stěhování nábytku a ostatních stěhovacích služeb"
4942,Stěhování nábytku a ostatní stěhovací služby
4950,Vše
5010,"Doprava osob po vodě, pravidelnými linkami i jinak"
5020,"Nákladní doprava po vodě, pravidelné linky i jinak"
5222,"Tažení, tlačení člunů v tísni na moři a pobřežních vodách"
5030,"Osobní doprava na řekách, kanálech, jezerech a ostatních"
5040,"Nákladní doprava na řekách, kanálech, jezerech a ostatních"
5222,"Tažení, tlačení, vlečení v tísni na vnitrozemských vodách"
5110,Osobní letecká doprava na pravidelných linkách
5121,Nákladní letecká doprava na pravidelných linkách
5110,Běžné charterové lety
5121,Nepravidelná letecká nákladní doprava
5122,"Vše, kromě činnosti související s kosmickou dopravou"
5223,Činnosti související s kosmickou dopravou
5224,Vše
5210,Vše
5221,Vše
5222,Kromě výuky plavby (plavební licence) pro získání komerčních
8532,Výuka plavby (plavební licence) pro získání komerčních
5223,"Vše, kromě výuky létání pro komerční piloty aerolinií"
8532,Činnosti škol létání pro komerční piloty aerolinií
7911,Činnosti cestovních agentur
7912,Činnosti cestovních kanceláří
7990,Činnosti místních turistických informačních a ubytovacích
5229,"Vše, kromě zajišťování dopravních dokumentů (účetní audit"
7490,Zajišťování dopravních dokumentů (účetní audit a informace o
5310,"Vše, kromě pronajímání poštovních schránek"
8219,Pronajímání poštovních schránek
5320,Vše
6010,Vysílání rozhlasových pořadů
6020,Vysílání televizních pořadů
6110,Činnosti související s pevnou telekomunikační sítí
6120,Činnosti související s bezdrátovou telekomunikační sítí
6130,Činnosti související se satelitní telekomunikační sítí
6190,Ostatní telekomunikační činnosti
6411,Vše
6419,Vše
6491,Vše
6492,"Vše, kromě faktoringových služeb"
6499,Faktoringové služby
6420,Činnosti finančních holdingových společností
6430,"Činnosti trustů, fondů a podobných finančních subjektů"
6499,Ostatní finanční zprostředkování týkající se hlavně
6511,"Životní pojištění s nebo bez podstatné spořící částky, kromě"
6520,Zajištění životního pojištění s nebo bez podstatné spořicí
6520,Zajištění související s penzijním financováním
6530,"Vše, kromě zajišťovacích služeb"
6512,"Vše, kromě zajišťovacích služeb"
6520,Zajištění neživotního pojištění
6611,Vše
6612,Obchodování na finančních trzích v zastoupení jiných (např.
6630,Správa fondů
6612,Činnosti směnáren peněz
6619,"Vše, kromě činnosti směnáren peněz"
6621,Činnosti pojišťování rizik a vyhodnocování škod
6622,Činnosti pojišťovacích agentů
6629,Administrativa k záchraně hodnot
4110,"Vše, kromě developerů projektů inženýrského stavitelství, ti"
6810,Vše
6820,Vše
6831,Vše
6832,"Zahrnuje agentury na výběr nájemného, část činnosti správy"
8110,"Úklid a údržba prostorů v budovách, řízení a kontrolování"
7711,Vše
7712,Pronájem a operativní leasing pozemních dopravních prostředků
7739,Pronájem a operativní leasing pozemních dopravních prostředků
7734,Vše
7735,Vše
7731,Vše
7732,Pronájem a operativní leasing stavebních strojů a zařízení bez
7739,Pronájem stavebních buněk k ubytování a pro administrativní
7733,Vše
7739,Vše
7721,Pronájem ostatního zboží domácnostem nebo firmám:
7722,"Pronájem videopásků, DVD (filmy,videa)"
7729,"Pronájem ostatního zboží domácnostem nebo firmám (vše, kromě"
6202,Vše
5821,Vydávání počítačových her
5829,Veškeré vydávání softwaru kromě vydávání počítačových her
6201,Softwarové programování
6201,Zahrnuje:
6202,"Analýzy, návrhy a programování systémů „na klíč“ (tj."
6209,Služby instalování softwaru
6203,"Správa a provozování zařízení pro nepřetržité zpracování dat,"
6311,Činnosti související s databázemi: poskytování dat v určitém
5811,Vydávání knih on-line
5812,On-line adresáře a jiné on-line seznamy
5813,Vydávání novin on-line
5814,Vydávání časopisů a ostatních periodických publikací on-line
5819,On-line databázové publikování
5821,On-line vydávání počítačových her
5829,"Veškeré on-line vydávání softwaru, kromě počítačových her"
5920,Stahování hudby (on-line vydávání staženého obsahu za provizi)
6010,Rozhlasové vysílání na internetu
6020,Internetové vysílání obrazu se zvukem
6201,Projektování struktury a obsahu databáze
6311,Služby spravování databáze
6312,Webové vyhledávací portály
3312,"Opravy a údržba kancelářských strojů a zařízení, včetně"
9511,Opravy a údržba počítačů kromě kopírek a strojů k počítání
6209,(NACE 1.1 třída 72.60 byla „prázdná třída“)
7211,Výzkum a vývoj v oblasti biotechnologie
7219,Systematické studium a tvůrčí úsilí ve třech druzích výzkumu
7220,Multidisciplinární výzkum a vývoj s převahou společenských
7220,Vše
6910,Vše
6920,Vše
7320,Vše
240,Poradenství pro lesnictví
7021,Vztahy s veřejností a komunikace:
7022,"Vše, kromě vztahů s veřejností a komunikace, poradenství pro"
7490,Poradenství pro zemědělství (agronomů atd.)
8560,Podpůrné vzdělávací aktivity (zahrnuje část z poradenství
6420,Činnosti holdingových společností nezahrnující správu (řízení)
7010,Správa (řízení) holdingových společností
7111,Poradenské architektonické činnosti
7112,"Inženýrské činnosti a související technické poradenství,"
7420,Letecké snímkování
7490,Činnosti související s předpovědí počasí
7120,Vše
7311,"Vše, kromě prezentací v médiích, poskytování reklamního"
7312,"Prezentace v médiích, tj. prodej času a místa reklamní"
7810,"Vyhledávání, rozdělování a umísťování pracovních sil"
7820,Činnosti související s uzavíráním pracovních smluv:
7830,Dlouhodobé poskytování lidských zdrojů a řízení lidských
7490,Poradenství ohledně bezpečnosti
8010,"Dozor, ochrana a ostatní bezpečnostní činnosti (kromě"
8020,Monitorování/monitorování na dálku elektronického
8030,Činnosti soukromých detektivů
8121,"Vnitřní úklid všech typů budov (všeobecný úklid), kromě"
8122,Speciální vnitřní i vnější úklid všech typů budov
8129,Mytí a čištění lahví a baněk
7420,Vše
8292,Vše
7430,Překladatelství a tlumočnictví
8211,Kombinované sekretářské činnosti
8219,Specializované administrativní činnosti:
8299,"Telefonní základní kancelářské operace, kromě call center"
8220,Vše (call centra)
5920,Autorská práva (kromě filmu)
6399,"Činnosti informačních služeb j. n., např.:"
7410,"Módní návrhářství týkající se textilu, ošacení, obuvi, šperků,"
7490,Zahrnuje činnosti:
7740,"Leasing nehmotného majetku, kromě finančního"
8230,"Činnosti organizátorů veletrhů, výstav a kongresů (sjezdů,"
8291,Inkasní činnosti
8299,Činnosti nezávislých dražitelů
8411,Vše
8412,Vše
8299,Vydávání licencí k vozidlům na poplatkové či smluvní bázi
8413,"Vše, kromě vydávání licencí k vozidlům na poplatkové či"
8110,Činnost vládou vlastněných nebo užívaných budov
8411,Všeobecné občanské a jiné všeobecné činnosti
9101,Činnost vládních archivů
8421,"Vše, kromě programů pomoci uprchlíkům a hladovějícím"
8899,"Mezinárodní pomoc, např. programy pomoci uprchlíkům"
8422,Vše
8423,Vše
8424,Vše
8425,Vše
8430,Vše
8510,Pre-primární vzdělávání (předškolní vzdělávání)
8520,Základní vzdělávání na prvním stupni základních škol
8531,Vše (včetně základního vzdělávání na druhém stupni základních
8532,Vše
8541,Postsekundární vzdělávání nevedoucí k získání akademického
8542,Postsekundární  vzdělávání vedoucí k získání akademického
8553,Vše
8532,"Technické a odborné vzdělávání pro dospělé, nižší než"
8551,Sportovní a rekreační vzdělávání i pro dospělé a jiné
8552,Umělecké vzdělávání i pro dospělé a jiné vzdělávání
8559,"Vše, kromě uměleckého, sportovního a odborného vzdělávání"
8610,"Vše, kromě péče o lidi mentálně zaostalé, mentálně nemocné"
8720,"Péče lidem mentálně zaostalým, mentálně nemocným nebo těm,"
8621,Lékařské konzultace a poradenství v oblasti všeobecného
8622,Lékařské konzultace a poradenství v oblasti odborného
8623,Vše
8690,"Vše, kromě ošetřovatelské péče v zařízeních a služeb ústavní"
8710,Ošetřovatelská péče v zařízeních
8720,Poskytování ústavní péče a léčba pacientů s mentálním
8730,Poskytování ústavní péče a léčba starších a invalidních občanů
7500,Vše
8730,Poskytování ústavní péče a individuální péče starším
8790,Nepřetržitá sociální péče zaměřená na poskytování sociální
8810,"Sociální, poradenské, konzultační a podobné činnosti zaměřené"
8891,Denní péče o děti
8899,Ostatní ambulantní nebo terénní sociální služby j. n.
3700,Vše
3811,"Shromažďování a sběr odpadů, kromě nebezpečných"
3812,Shromažďování a sběr nebezpečných odpadů
3821,"Zpracování a likvidace odpadů, kromě nebezpečných"
3822,Zpracování a likvidace nebezpečných odpadů
3811,Sběr odpadu z odpadkových košů na veřejných místech
3900,Dekontaminace půdy a podzemních vod na místech znečištění nebo
8129,"Venkovní čištění a postřik silnic, náměstí, chodníků, tržišť,"
9411,Vše
9412,Vše
9420,Vše
9491,Vše
9492,Vše
9499,Vše
5911,"Výroba hraných a jiných filmů, ať již na páscích,"
5912,"Podpůrné činnosti jako je dabing a jiné, včetně postprodukce"
5920,Činnosti zvukových nahrávacích studií
5913,Vše
5914,Vše
5911,Výroba (produkce) televizních pořadů
5920,Výroba (produkce) rozhlasových pořadů (tj. neživých pořadů)
6010,Vysílání rozhlasových programů (kromě předplacených nebo
6020,Vysílání a vytváření televizních programů
9001,"Produkce živých divadelních představení, koncertů, oper"
9002,Podpůrné činnosti pro scénická umění související s produkcí
9003,"Činnosti jednotlivých umělců jako spisovatelů, sochařů,"
7990,"Provoz agentur, zabývajících se prodejem vstupenek"
9002,"Podpůrné činnosti pro scénická umění, jako činnosti jevištních"
9004,"Provoz koncertních síní, divadel a dalších kulturních zařízení"
9321,Vše
7990,"Činnosti agentur, zabývajících se prodejem vstupenek na"
8552,Činnosti tanečních škol a učitelů tance
9001,Činnosti cirkusů
9002,Činnosti podpůrné k cirkusovým představením:
9329,"Činnosti loutkových divadel, rodeí, činnosti střelnic,"
6391,"Činnosti syndikátu novinářů, ČTK, dodávajících médiím zprávy,"
7420,Činnosti tiskových fotografů
9003,Činnosti nezávislých novinářů
9101,Vše
9102,Provoz muzeí všech druhů
9103,Provoz kulturních památek a historických staveb
9104,Vše
9311,Vše
7990,Předprodej vstupenek na sportovní akce - agentury
8551,"Činnosti sportovních škol, jezdeckých akademií"
9311,Organizování a provozování sportovních událostí - venku nebo
9312,Provoz sportovních klubů:
9319,Činnosti související s propagací a produkcí sportovních
9329,Činnosti přístavů
9200,Vše
162,Činnosti podkovářů
7810,Castingové agentury a kanceláře
7990,Předprodej vstupenek na divadelní a jiné zábavní akce
9329,"Vše, kromě předprodeje vstupenek a castingových agentur a"
9601,Vše
9602,Vše
9603,Vše
9313,Fitcentra
9604,"Vše, kromě fitcenter"
8551,Výuka jógy
9609,"Vše, kromě výuky jógy"
9700,Vše
9810,Vše
9820,Vše
9900,Vše
