code,description
1200,Vše
1310,"Agregace Nace Rev. 1.1 tříd 17.11, 17.12, 17.13, 17.14, 17.15,"
1310,"Agregace NACE Rev. 1.1 tříd 17.11, 17.12, 17.13, 17.14, 17.15,"
1320,Vše
1330,Vše
1392,"Vše, kromě:"
3250,Chirurgické (operační) závěsy
3319,Opravy nepromokavých plachet (celt)
9529,Opravy stanů
1393,Vše
1394,"Vše, kromě oprav rybářských sítí"
3319,Opravy rybářských sítí
1395,Vše
1396,Technické a průmyslové textilie
1399,"Vše, kromě:"
1722,"Výroba textilních vatelínů (vycpávek) a výrobků z vatelínů,"
1391,Vše
1419,Výroba obuvi z textilních materiálů bez podrážek
1431,"Vše, kromě výroby obuvi z textilních materiálů bez podrážek"
1439,Vše
1411,"Vše, kromě výroby ohnivzdorných a bezpečnostních ochranných"
3299,Výroba ohnivzdorných a bezpečnostních ochranných oděvů
1412,Vše
1413,Vše
1414,Vše
1419,"Vše, kromě výroby ohnivzdorných a bezpečnostních ochranných"
1320,Výroba tkaných umělých kožešin
1391,Výroba pletených umělých kožešin
1420,"Vše, kromě úpravy a barvení kožešin a výroby umělých kožešin"
1511,Úprava a barvení kožešin
1511,Vše
1512,"Vše, kromě bezpečnostních pásů, řemenů a jiných pásů pro"
3299,"Bezpečnostní pásy, řemeny a jiné pásy pro pracovní použití"
1520,"Vše, kromě výroby:"
1629,Výroba dřevěných dílů obuvi (např. podpatků a kopyt)
2219,Výroba podpatků a podrážek a jiných gumových dílů obuvi
2229,Výroba plastových dílů obuvi
1610,Vše
1621,Vše
1622,"Výroba podlahových parketových bloků, pruhů atd. sestavených"
1623,"Vše, kromě:"
4120,Instalace a montáž prefabrikovaných dřevěných budov (vlastní
4332,Montážní práce stavebních výrobků ze dřeva (vlastní výroby)
4391,Pokrývačské práce
1624,"Vše, kromě oprav"
3319,"Opravy nebo předělání dřevěných palet, přepravních bubnů nebo"
1629,"Vše, kromě výroby rakví a oprav a údržby dřevěných výrobků"
3299,Výroba rakví
3319,Opravy a údržba dřevěných výrobků j. n.
1629,"Vše, kromě výroby záchranných vest (pásů) z korku"
3299,Výroba záchranných vest (pásů) z korku
1711,Vše
1712,Vše
1721,Vše
1722,"Vše, kromě tisku na výrobky klasifikované v třídě 17.22"
1812,Tisk na výrobky klasifikované v třídě 17.22
1723,Vše
1724,Vše
1729,"Vše, kromě litografického tisku, hlubotisku, gumotisku, screen"
1812,"Litografický tisk, hlubotisk, gumotisk, screen tisk nebo"
3299,Výroba globů
5811,"Vše, kromě vydavatelství adresářů a seznamů a výroby globů"
5812,Vydávání:
5813,Vše
5814,Vše
5920,Vše
5819,Vše
1811,Vše
1723,Výroba papírových potřeb pro školní a kancelářské
1812,Tiskařské služby kromě pro noviny
5819,"Známky, šeky, kolky, bankovky, obchodní propagační materiály,"
1814,Vše
1813,Agregace NACE Rev. 1.1 tříd 22.24 a 22.25
1820,"Agregace NACE Rev. 1.1 tříd 22.31, 22.32, 22.33"
1910,Vše
1920,Vše
2013,Obohacení uranu
2120,Radioaktivní látky sloužící k rozpoznání organizmů zaživa
2446,Kromě obohacení uranu
3812,Sběr a zpracování radioaktivního nukleárního odpadu
3822,"Nakládání, odvoz a uskladnění nebezpečného radioaktivního"
2011,Vše
2012,Vše
2013,Vše
1910,"Výroba asfaltu (dehtu, smoly) a dehtového (smolného) koksu"
2014,"Vše, kromě výroby asfaltu (dehtu) a dehtového koksu"
2015,"Vše, kromě výroby kompostu z organických odpadů"
3821,Výroba kompostu z organických (ekologických) odpadů
2016,Vše
2017,Vše
2020,Vše
2030,Vše
2110,Vše
2120,"Vše, kromě hmoty na zubní plomby, dentálních výplní a"
3250,"Hmota na zubní plomby, dentální výplně a dentální pojiva"
2041,"Vše, kromě výroby toaletního mýdla"
2042,Výroba toaletního mýdla
2042,Vše
2051,Vše
2052,"Výroba klihů, lepidel a umělých klihů, včetně gumového základu"
2059,Výroba želatiny a jejich derivátů
2053,Vše
2059,Vše
2680,Vše
2059,"Vše, kromě rozpracovaných čipů nebo plátků čipů, polovodiče"
2611,"Výroba rozpracovaných čipů nebo plátků čipů, polovodiče"
2060,Vše
2211,Agregace NACE Rev. 1.1 tříd 25.11 a 25.12
2219,"Vše, kromě:"
3250,Výroba pryžových chirurgických rukavic
3299,Výroba záchranných vest
3319,Opravy a údržba ostatních pryžových výrobků (kromě pneumatik)
2221,"Vše, kromě oprav, údržby, instalací a montáží"
3319,"Opravy a údržba plastových rour, trubek a hadic; plastových"
3320,"Instalace a montáž plastových rour, trubek a hadic; plastových"
2222,Vše
2223,"Vše, kromě:"
2733,Plastové trubky pro elektrické vedení
4120,Instalace a montáž prefabrikovaných budov z plastů (vlastní
4332,Instalační práce stavebních výrobků z plastů (vlastní výroby)
2229,"Vše, kromě:"
2733,Plastové nevodivé instalační materiály včetně instalačních
3299,Plastové přilby a ostatní plastové vybavení pro bezpečnost
3319,Opravy oken letadel z plexiskla
2311,Vše
2312,Vše
2313,Vše
2314,Vše
2319,"Vše, kromě oprav, údržby, instalací a montáží"
3319,"Opravy a údržba skleněných rour a trubek, skleněných"
3320,"Instalace a montáž skleněných rour a trubek, skleněných"
2341,Vše
2342,Vše
2343,Vše
2344,Vše
2349,Vše
2320,Vše
2331,Vše
2332,"Vše, kromě oprav, údržby, instalací a montáží"
3319,"Opravy a údržba keramických trubek, rour, trubního vedení"
3320,"Instalace a montáž keramických trubek, rour, trubního vedení"
2351,Vše
2352,Agregace NACE Rev. 1.1 tříd 26.52 a 26.53
2361,Vše
2362,Vše
2363,Vše
2364,Vše
2365,Vše
2369,Vše
2370,Vše
2391,"Vše, kromě oprav, údržby, instalací a montáží"
3319,"Opravy a údržba mlýnských kamenů, brusných kamenů, leštících"
3320,"Instalace a montáž mlýnských kamenů, brusných kamenů,"
2399,Vše
2410,Vše
2451,Agregace NACE Rev. 1.1 tříd 27.21 a 27.51
2420,Vše
2431,Vše
2432,Vše
2433,Vše
2434,Vše
2441,Vše
2442,Vše
2443,"Vše, kromě výroby výrobků používaných ve stavebnictví, např."
2599,"Výroba výrobků používaných ve stavebnictví, např. trouby,"
2444,Vše
2445,Vše
2452,Vše
2453,Vše
2454,Vše
3320,Různé výrobní / instalační činnosti
2433,Sendvičové panely z povlakovaných ocelových plechů
2511,"Vše, kromě:"
3311,Opravy kovových konstrukcí
4120,Instalace a montáž prefabrikovaných budov z kovů (vlastní
2512,"Vše, kromě:"
4332,Instalační práce kovových truhlářských a tesařských stavebních
2529,"Vše, kromě oprav kovových nádrží (zásobníků a kontejnerů)"
3311,Opravy kovových nádrží (zásobníků a kontejnerů)
2521,"Vše, kromě oprav, údržby a instalací kotlů a radiátorů"
3311,Opravy plášťů kotlů pro ústřední topení a topných těles
4322,"Opravy, údržba a instalace kotlů a radiátorů ústředního topení"
2530,"Vše, kromě oprav a údržby parních kotlů nebo jiných parních"
3311,"Opravy a údržba parních kotlů nebo jiných parních generátorů,"
2550,Vše
2561,Vše
2562,"Vše, kromě všeobecných oprav a údržby strojů"
3312,Všeobecné opravy a údržba strojů
2571,"Vše, kromě oprav"
3311,Opravy
2573,Nezahrnuje:
2841,"Kovové nože, čepele a podobné doplňky pro kovoobráběcí stroje"
2849,"Kotoučové nože (prostřihovadla, lisovací nástroje) vyrobené ve"
2892,Vrtné břity (korunky) pro povrchovou těžbu a stavebnictví
2572,Kromě oprav
2591,Kromě oprav ocelových sudů a podobných nádob
3311,Opravy ocelových sudů a podobných nádob
2592,Vše
2593,Vše
2593,Výroba řetězů a pružin
2594,"Vše, kromě výroby řetězů a pružin"
2571,"Kovové sečné a bodné zbraně (např. mačety, meče, bodáky,"
2572,"Kovové háčky, úchytky, držáky a podobné kovové součástky"
2599,Nezahrnuje:
3299,Kovové ochranné přilby a ostatní kovové osobní ochranné
3320,Různé výrobně / montážní činnosti
2811,"Vše, kromě oprav"
3312,Opravy
2811,Výroba větrných turbín
2812,Hydraulická zařízení
2813,Nehydraulická zařízení
2812,Výroba hydraulických a pneumatických ventilů
2814,Kromě hydraulických a pneumatických ventilů
3312,"Opravy a údržba kovových kohoutů, ventilů, armatur a podobných"
2815,"Vše, kromě oprav"
2821,"Vše, kromě oprav"
2822,"Vše, kromě:"
3312,Opravy a údržba manipulačního zařízení
4329,Opravy a údržba výtahů a eskalátorů
2825,Kromě oprav
2829,Kromě:
3250,"Laboratorní druhy destilačních přístrojů, laboratorní"
3312,Opravy jiných strojů a zařízení než laboratorních druhů
3313,"Opravy laboratorní druhů destilačních přístrojů,"
2830,"Vše, kromě oprav a údržby zemědělských traktorů"
2830,"Vše, kromě oprav"
3312,Opravy (kromě sekaček na trávu)
9522,Opravy sekaček na trávu
2824,"Vše, kromě oprav"
2841,"Vše, kromě oprav"
2790,Ruční elektrické páječky a pájecí pistole
2829,Výroba neelektrických svařovacích a pájecích zařízení
2849,"Vše, kromě oprav a kromě ručních elektrických páječek a"
2891,"Vše, kromě oprav"
2892,"Vše, kromě oprav a výroby strojů na výrobu cihel, tvárnic,"
2899,"Výroba strojů na výrobu cihel, tvárnic, tvarovaných"
2830,Díly dojicích strojů a mlékárenských strojů j. n.
2893,"Vše, kromě oprav a dílů dojicích strojů a mlékárenských strojů"
2894,"Vše, kromě oprav"
2895,"Vše, kromě oprav"
2573,Výroba formovacích rámů a forem (kromě kokil na ingoty)
2894,Výroba strojů na potisk textilií
2896,"Stroje na opracování měkké pryže nebo plastů, kromě oprav"
2899,Kromě oprav
2540,"Vše, kromě:"
3030,Výroba mezikontinentální balistické střely (ICBM)
3040,"Tanky, vojenská pancéřovaná obojživelná vozidla a ostatní"
3311,Opravy a údržba zbraní a zbraňových systémů
2751,"Vše, kromě:"
2821,Výroba trvale instalovaných elektrických prostorových
2825,Podstřešní ventilátory
3314,Opravy a údržba profesionálních elektrických zařízení
2752,"Vše, kromě výroby domácích neelektrických topných zařízení,"
2821,"Výroba domácích neelektrických topných zařízení, např."
3320,Instalace různých průmyslových strojů a zařízení
2823,Vše
2620,Kromě instalací
6209,Instalace osobních počítačů a periferních zařízení
2611,"Elektronické transformátory (solid state), cívky, tlumivky"
2711,Nezahrnuje:
3313,"Opravy elektronických transformátorů (typu solid state),"
3314,Opravy a údržba elektromotorů
2611,"Elektronické spínače, např. kuželové, regálové stavebnicové"
2712,Zahrnuje převíjení kotev magnetů na provozní bázi
2733,Zásuvky a objímky pro napětí <= 1 000 V  (kromě objímky
2790,Výroba svodičů přepětí
3314,Opravy a údržba rozvodných a kontrolních zařízení pro
2611,Montáž spřahadel (izolované dráty a svorky) pro využití
2731,Nový rozpad NACE rev. 1.1 třída 31.30
2732,Nový rozpad NACE rev. 1.1 třída 31.30
2790,"Výroba přístrojových kabelů, prodlužovacích kabelů a ostatních"
2720,Vše
2740,Vše
2740,Výroba elektrického zařízení pro motorová vozidla
2931,Zahrnuje:
2344,Keramické a feritové permanentní magnety
2599,Kovové permanentní magnety
2630,Poplašná zařízení na ochranu proti vloupání nebo protipožární
2651,"Detektory min, zasílající a odpovídající na signál; signální"
2711,Elektrický přívěsný lodní motor
2740,Chybové přepínače bez světla
2790,"Elektromagnety, uhlíkové a grafitové elektrody, spoje"
2849,Zařízení pro elektrolytické pokovování
2899,Výroba solárních lůžek
2931,Poplachové elektrické zvukové signalizační zařízení pro
3020,"Výroba mechanických a elektromechanických signalizačních,"
3313,Opravy detektorů min
3314,Opravy a údržba různých elektrických strojů
2611,"Elektronové trubice včetně katodových (CRTs), ostatní vakuové"
2612,Elektronické desky
2790,Výroba elektrických kondenzátorů a odporů
3313,"Opravy elektronových trubic včetně katodových (CRTs),"
2630,"Vybavení telefonních ústředen, bezdrátové telefony (kromě"
9512,Opravy komunikačního zařízení
2611,"Hlavy (snímací, záznamové, čtecí/psací atd.), gramofonové"
2620,Videosvazkovače
2630,"Telefonní záznamníky; zařízení rozhlasových studií, např."
2640,"Vše, kromě:"
2670,Digitální kamery
2823,Diktovací přístroje
3313,"Opravy hlav (snímacích, nahrávacích, čtecích, zapisovacích"
2660,Výroba elektrických zdravotnických a elektroterapeutických
3250,"Ortopedické a protetické prostředky; umělý chrup, můstky atd."
3299,Plynové masky
3313,Opravy:
3314,Opravy a údržba ostatních elektrických zdravotnických zařízení
2651,"-Letové záznamníky (černé skříňky), sledovací, zaměřovací,"
2670,"- Optické měřicí a kontrolní přístroje a nástroje, např."
2829,"Vodováhy, měřicí pravítka a podobné ruční nástroje, strojní"
2899,Zařízení pro nastavení a vyvažování pneumatik (kromě
3250,Zdravotnické teploměry
3313,Opravy a údržba:
3314,Opravy a údržba elektrických přesných nástrojů a přístrojů
3320,Vše (tady ve skutečnosti nebyla žádná oprava „zařízení pro
2670,"Vše, kromě:"
2731,"Optická vlákna, svazky vláken a kabely"
2899,Fotolitografická zařízení pro výrobu polovodičů
3250,"Oční výrobky, brýle dioptrické a sluneční, základní čočky na"
3313,"Opravy optických potřeb a čoček, optických mikroskopů,"
2652,"Vše, kromě:"
3212,"Výroba pásků, náramků a řemínků na hodinky z drahých kovů"
3213,"Výroba kovových pásků a řemínků na hodinky, kromě z drahých"
3313,"Opravy parkovacích hodin, píchacích hodin, hodin"
2892,Terénní vyklápěcí nákladní vozidla
2910,"Vše, kromě:"
3091,Výroba motorů pro motocykly
2920,"Vše, kromě oprav a údržby kontejnerů"
3311,Opravy a údržba kontejnerů
2811,"Výroba dílů k pístovým motorům s vnitřním spalováním,"
2932,"Vše, kromě:"
3011,"Vše, kromě oprav a údržby"
3315,Opravy a běžná údržba prováděná plovoucími suchými doky
3012,"Vše, kromě oprav a údržby"
3020,"Vše, kromě oprav a údržby"
3317,Opravy a údržba
2899,"Výroba podvozků letadla, leteckých katapultů a podobných"
3030,Zahrnuje satelity
3316,Opravy a údržba
3091,Vše
3092,Vše
3092,"Vše, kromě oprav a údržby"
2822,Výroba trakařů (koleček)
3099,Kromě:
3101,"Dekorační vozíky restaurační, např. na dezerty, na jídlo"
3311,Opravy nákupních vozíků
3317,"Opravy a údržba, kromě oprav nákupních vozíků"
2932,Výroba sedadel pro automobily
3011,Výroba sedadel pro lodě a plavidla
3020,Výroba sedadel pro železnice
3030,Výroba sedadel pro letadla
3101,Výroba sedadel a židlí pro kanceláře a obchody
3102,Výroba sedadel pro kuchyně
3109,"Výroba pohovek na spaní, na sezení"
9524,"Opravy a údržba sedadel, přečalounění židlí a sedadel"
2823,Školní tabule
3101,"Zahrnuje sedadla a židle pro kanceláře a obchody,"
9524,Opravy nábytku pro kanceláře a obchody
3102,"Vše, kromě oprav, údržby a restaurování"
9524,"Opravy, údržba a restaurování ostatního kuchyňského nábytku"
3109,"Vše, kromě oprav, údržby a restaurování ostatního nábytku"
9524,"Opravy, údržba a restaurování ostatního nábytku"
3103,Vše
3211,Vše
3212,Vše
3220,"Vše, kromě:"
3319,Restaurování varhan a podobných hudebních nástrojů
9529,Opravy hudebních nástrojů
3230,"Nezahrnuje ušní a protihlukové ucpávky (např. pro plavání,"
3299,"Ušní a protihlukové ucpávky (např. pro plavání, ochraně proti"
2640,Výroba zábavních videoherních konzolí
2899,Výroba vybavení automatické kuželkářské dráhy (např. stavěče
3240,Nezahrnuje:
3319,"Opravy hracích automatů a ostatních automatických her,"
3213,Vše
2219,Výroba pryžových kartáčků (štětek)
3291,"Vše, kromě výroby pryžových kartáčků (štětek)"
1399,Výroba labutěnek (pudřenek) a náramků
1512,Výroba bičů a jiných jezdeckých potřeb
1629,Výroba rukojetí deštníků z rákosí a podobných výrobků
1729,"Výroba papírových novinek (zábavné a žertovné předměty, umělé"
2051,Výroba zápalek
2219,"Výroba pryžových kartáčů, troubelí dýmek a hřebenů, vlásenek,"
2223,"Výroba linoleí a tvrdých podlahovin s neplastovým povrchem,"
2229,"Výroba držáků cigár a cigaret, hřebenů, natáček, novinek"
2599,"Výroba kovových vakuových nádob a lahví, medailí a vojenských"
2899,"Výroba kolotočů, houpaček, střelnic a ostatních zařízení"
3092,Výroba dětských kočárků
3299,Kromě výroby:
3831,Zahrnuje demontáž automobilů
3832,"Zahrnuje znovuzískání kovů z fotografických odpadů, např. z"
3832,Vše
3511,"Vše, kromě vyhořelých palivových článků (kazet) pro jaderné"
3812,Vyhořelé palivové články (kazety) pro jaderné reaktory
3512,Vše
3513,Operace distribučního systému
3514,Prodej elektřiny uživatelům
3521,Vše
3522,"Rozvod, distribuce a dodání plynných paliv všech typů"
3523,Prodej plynu uživatelům prostřednictvím sítí
3530,Vše
3600,Vše
4311,Stržení (demolice) budov a jiných stavebních děl
4312,"Vyklizení staveniště, přesuny zeminy, příprava území pro"
4313,Vše
4120,Výstavba budov:
4212,"Výstavba podzemní dráhy (traťová část stavby, kromě stavby"
4213,"Výstavba mostů, včetně mostů pro visuté dálnice (nadúrovňové"
4221,"Výstavba dálkových trubních vedení, městských trubních rozvodů"
4222,Výstavba dálkových a městských telekomunikačních
4299,"Výstavba průmyslových zařízení, kromě budov, jako jsou:"
4399,Výstavba otevřených (nezastřešených) plaveckých bazénů
4391,Stavba a pokrývání střech
4399,Pokládání izolací proti vlhku a vodě včetně vodovzdorného
4120,Výstavba ploch pro sport a rekreaci uvnitř
4211,"Výstavba dálnic, silnic, místních komunikací a cest (i"
4212,Výstavba železnic
4299,Stavební práce (kromě budov):
4221,Výstavba závlahových systémů (kanálů)
4291,Výstavba:
4399,Podpovrchové a podzemní práce
4221,Vrtání a výstavba studní
4399,Zahrnuje:
4321,Elektroinstalace v budovách a ostatních stavebních dílech:
4322,Instalace v budovách nebo v ostatních stavebních dílech:
4329,Instalace v budovách a ostatních stavebních dílech:
8020,"Instalace bezpečnostních systémů, jako jsou poplašná zařízení"
4329,Vše
4322,Vše
4321,Instalace (a všeobecné technické opravy a údržba)
4329,Instalace (a všeobecné technické opravy a údržba) armatur
4331,Vše
4332,Vše
4333,Vše
4334,Vše
4339,"Vše, kromě otevřených (nezastřešených) domácích bazénů"
4399,Otevřené (nezastřešené) domácí bazény
4399,Vše
4511,Velkoobchodní  a maloobchodní prodej nových
4519,Velkoobchodní  a maloobchodní prodej nových
4520,Opravy a údržba motorových vozidel:
5221,"Vlečení, tažení"
4531,Velkoobchod s díly a příslušenstvím pro motorová vozidla
4532,Maloobchod s díly a příslušenstvím pro motorová vozidla
4540,Vše
4730,Vše
4611,Vše
4612,Vše
4613,Vše
4614,Vše
4615,Vše
4616,Vše
4617,Vše
4618,Vše
4619,Vše
4621,Vše
4622,Vše
4623,Vše
4624,Vše
1039,"Výroba loupané, krájené čerstvé zeleniny, míchaných salátů,"
4631,Velkoobchod s čerstvým ovocem a zeleninou (kromě přípravy
4632,Vše
4633,Vše
1101,Míchání destilovaných lihovin
1102,"Skupování vín s mícháním, úpravou a s plněním do lahví;"
4634,Velkoobchod  s nápoji
4635,Vše
4636,Vše
4637,Vše
4631,Konzervované ovoce a zelenina
4638,"Vše, kromě konzervovaného ovoce a zeleniny"
4639,Vše
4641,Vše
4642,Vše
4643,Velkoobchod:
4647,Velkoobchod se svítidly
4652,"Nenahrané audio-  a videopásky, diskety, CD a DVD"
4644,"Velkoobchod s porcelánovými, skleněnými výrobky a čisticími"
4649,"Velkoobchod s hrnci, příbory, obalovými materiály z kovů pro"
4673,Velkoobchod s papírovými tapetami
4645,"Vše, kromě pracích prostředků"
4644,Velkoobchod s pracími prostředky
4646,Vše
4643,Fotografické a optické přístroje
4647,Velkoobchod s nábytkem a koberci
4648,"Velkoobchod s hodinami, hodinkami a klenoty"
4649,Velkoobchod:
4673,Velkoobchod s podlahami a podlahovými krytinami
4671,Vše
4672,Vše
4673,Vše
4674,Vše
4675,Velkoobchod:
4676,Velkoobchod:
4676,Vše
4677,Vše
4662,Vše
4663,Vše
4664,Vše
4651,Vše
4665,Velkoobchod s kancelářským nábytkem
4666,"Vše, kromě velkoobchodu s kancelářským nábytkem"
4652,Vše
4669,Vše
4661,Vše
4690,Vše
4711,Vše
4719,Vše
4721,Vše
4722,Vše
4723,Vše
4724,Vše
4725,Vše
4726,Vše
4721,Maloobchodní prodej konzervovaného ovoce a zeleniny
4729,"Vše, kromě maloobchodního prodeje konzervovaného ovoce"
4773,Vše
4774,Vše
4778,Maloobchod s pracími prostředky
4751,Vše
4771,Vše
4772,Vše
4753,Maloobchodní prodej záclon a síťovaných záclon
4759,Maloobchod:
4743,"Maloobchod s radiopřijímači, televizory a ostatním"
4754,Maloobchod s elektrickými přístroji převážně pro domácnost
4759,Maloobchodní prodej hudebních nástrojů a partitur
4763,Maloobchodní prodej hudebních i audiovizuálních nahrávek na
4752,Vše
4761,Maloobchod s knihami
4762,Maloobchod:
4741,Specializovaný maloobchodní prodej:
4742,Specializovaný maloobchodní prodej s telekomunikačním
4753,Specializovaný maloobchodní prodej:
4759,Specializovaný maloobchodní prodej s kancelářským nábytkem
4764,"Specializovaný maloobchodní prodej se sportovním zbožím,"
